German,Turkish
abgeben,teslim etmek-vermek
abholen,alıp getirmek-karşılamak
abschliessen,kilitlemek-bitirmek
die Ahtung,Saygı
die Ahnung,Sezgi
allein,yalnız
die Ampel,Trafik Lambası
der Anfang,Başlangıç
anbieten,sunmak-teklif etmek
andern,değiştirmek
anfangen,başlamak
die Angst,Korku
die Ankuft,Geliş
die Anmeldung,Danışma
ankommen,varmak
anmachen,açmak-yakmak-bağlamak
sich anmelden(w/bei),randevu almak
sich anmelden(w/für),kaydolmak
der Anrufbeantworter,Telesekreter
der Anruf,Telefon araması
anrufen,telefon etmek
der Anschluss,Aktarma
ansehen,bakmak-incelemek
der Anzug,Takim elbise
der Apparat,Alet
arbeitslos,işsiz
sich argern,kızmak
arm,fakir-yoksul
der Arm,Kol
auf jeden Fall,mutlaka
aufhören,bitmek-son vermek
aufmachen,açmak-çözmek
aufpassen,bakmak
aufraumen,toplamak
aufregend,heyecanlı
aufstehen,ayağa kalkmak-uyanmak
der Aufzug,Asansör
die Ausbildung,Eğitim-Ögrenim
der Ausflug,Gezi
ausfüllen,doldurmak
der Ausgang,Çıkış-Sonuç
ausgeben,dağıtmak-harcamak
ausgehen,dışarı çıkmak-harcamak
die Auskunft,Bilgi
das Ausland,Yurt Dışı
ausmachen,kapatmak-söndürmek
auspacken,açmak-ifşa etmek
sich ausruhen,dinlenmek
aussehen,gorünmek
aussprechen,telaffuz etmek-söylemek
aussteigen,inmek-terketmek
die Ausstellung,Sergi
austragen,dağıtmak
der Ausweis,Kimlik
die Autobahn,otoyol-otoban
baden, yıkamak
die Bahn, Tren
der Bahnsteig,Peron
das Band,Bant-Şerit
basteln,el işi yapmak
bauen,yapmak-kurmak-inşa etmek
die Baustelle,Şantiye
bedeuten,anlama gelmek
sich beeilen,acele etmek
beenden,bitirmek-son vermek
begründen,nedenini göstermek
das Bein,Bacak
beliebt,sevilen
bequem,rahat
bekommen,almak-elde etmek
benutzen,kullanmak
beraten,akıl vermek
berichten,bildirmek
der Beruf,Meslek
berühmt,meşhur
besetzt,tutulmuş-dolu
beschreiben,tanımlamak
sich beschweren,ağırlık vermek
besichtigen,gezmek-dolaşmak
besonders,özellikle-bilhassa
bestatigen,tasdik etmek
bestehen,gecmek-kazanmak-var olmak
bestellen,işlemek-sürmek-ekmek
der Besuch,Ziyaret
das Bett,Yatak
bewolkt,kapalı-bulutlu
besuchen,ziyaret etmek
sich bewerben,bir şeye talip olmak
die Bewerbung,Başvuru
das Bild,Resim-Tablo
bezahlen,ödemek
billig,ucuz
die Birne,Armut
die Bitte, Rica
bitten, rica etmek
bitter, acı
das Blatt,Yaprak
der Bleistift,Kurşun Kalem
bleiben,kalmak
blöd,aptal
die Blume,Çiçek
die Bohne,Fasulye
base,fena
der Brief,Mektup
die Brille,Gözlük
braten,kızartmak
brauchen,ihtiyacı olmak
die Brücke,Köprü
die Butter,Tereyağ
buchen,hesaba geçirmek-rezerve etmek
der Buchstabe,harf
buchstabieren,hecelemek
chatten,internette sohbet etmek
damals,o zamanlar
die Dame,Hanım-Bayan
daneben,yanında
das Datum,Tarih
dauern,sürmek-devam etmek
deutlich,belli
dick,kalın
das Doppelzimmer,İki kişilik oda
das Dorf,Köylü
draussen,dışarıda
dringend,acele-acil-ivedi
drinnen,içinde
druben,öbür tarafta
drücken,sıkıştırmak
drucken,basmak
der Drucker,Yazıcı
dumm,aptal
dünn,ince-hafif-sulu
der Durst,Susuzluk
echt,gerçek
egal,aynı
das Ei,Yumurta
eigentlich,gerçekten
eilig,acele
einfach,basit
der Eingang,Giriş-Antre
einpacken,paketlemek
einsteigen,binmek-katılmak
der Eintritt,Giriş
der Empfanger,Alıcı
eng,dar
einverstanden sein,bir şeye razı olmak
einziehen,tahsil etmek
empfehlen,tavsiye etmek
das Erdgeschoss,Zemin katı
die Erfahrung,Tecrübe
sich erinnern, bir şeyi hatırlamak
erkaltet sein,üşütmüş
erklaren,açıklamak-anlatmak
erlauben,izin vermek
die Erlaubnis,İzin
die Ermassigung,İndirim
der Erwachsene,Yetişkin
erreichen,ulaşmak-erişmek
erzahlen,anlatmak
etwas,bir şey
das Fach,Bölme-Göz
dir Abfahrt,Kalkış
abfahren,hareket etmek
die Fahrkarte,Bilet
der Fahrplan,Tarife
der Fan,Hayran
fallen,düşmek
die Farbe,Renk
fast,hemen hemen
faul,çürük-tembel
fehlen,bulunmamak-yol olmak
der Fehler,bozukluk-suç-hata
das Fenster,Pencere
fett,yağlı
fernsehen,televizyon seyretmek
fertig sein,hazır bulunmak
das Fieber,Ateş
fleissig,çalışkan
der Flug,Uçuş
abfliegen,(uçakla)hareket etmek-havalanmak
der Flohmarkt,Bit pazarı
der Flughafen,Havaalanı
das Flugzeug,Uçak
der Fluss,Nehir
der Fotoapparat,Fotoğraf Makinesi
frei,hür-özgür
freiwillig,gönüllü
fremd,yabancı
frisch,taze
froh,neşeli
früh,erken
sich freuen,sevindirmek
früher,daha önce-eskiden
der Führerschein,Şoför ehliyeti
sich fühlen,dokunmak-duymak-hissetmek
die Führung,Yönetim
die Fundsache,Bulunmuş eşya
furchtbar,korkunç
die Gabel,Çatal
ganz,bütün-tüm
der Gast,Konuk
gefahrlich,tehlikeli
das Gegenteil,Ters
geben,vermek
gefallen,hoşuna gitmek
gegenüber,karşı
das Gehalt,İçerik
die Geldbörse,cüzdan
gehen,gitmek
gehören,ait olmak
das Gepack,Bagaj
gerade,doğru-düz
das Gerat,Alet-Cihaz
das Gericht,Yemek
das Geschaft,Dükkan
das Gesicht,Yüz
das Geschenk,Hediye
die Geschichte,Tarih
das Geschirr,Kapkacak
das Getrank,İçecek
das Gewitter,Fırtına
das Glas,Cam
glauben,inanmak
das Gleis,Ray
das Glück,Mutluluk
glücklich,mutlu
der Glückwunsch,Kutlama
die Grippe,Grip
der Gruss,Selam
gratulieren,birini tebrik etmek
gültig sein,geçmek
günstig,uygun
das Haar,Saç
das Hahnchen,Piliç
das Hals,Boyun
die Haltestelle,Durak-İstasyon
das Handtuch,Havlu
halten,tutmak-alı koymak
hart,sert-katı
hasslich,çirkin-kötü
die Hauptstadt,Başkent
der Haushalt,Ev işleri
das Heft,Defter
die Heimat,Yurt
heissen,adlandırmak
die Heizung,Isıtma-Kalorifer
hell,açık-aydınlık
das Hemd,Gömlek
heraus,dışarıya
herein,içeriye
das Herd,Ocak
herstellen,buraya koymak-yapmak-üretmek
herunterladen,indirmek
herzlich,içten-samimi
die Hilfe,Yardım
der Himmel,Gökyüzü
hinten,geride-gerisinde
hinter,arkasında
hoch,yüksek-kabarık
die Hochzeit,Düğün
hoffentlich,umarım
die Hose,Pantolon
hoffen,ümit etmek
husten,öksürmek
die Insel,Ada
das Interesse,İlgi-Alaka
jeder,her
sich interessieren,ilgilenmek
die Jugendherberge,Gençler için özel otel
der Kalender,Takvim
die Kartoffel,Patates
der Kase,Peynir
die Kasse,Kasa
kennen,tanımak
die Kannnisse,Bilgiler
die Kette,Zincir
die Kirche,Kilise
klappen,iş yolunda
klar,aydınlık
das Klavier,Piyano
das Kleid,Elbise-Giysi
die Kleidung,Giyim
klug,akıllı
der Koffer,Valiz
der Kontakt,Temas
das Konto,Hesap
der Kopf,Baş
der Körper,Vücut
kostenlos,bedava
krank,hasta
kosten,mal olmak
die Krankenkasse,Sağlık sigortası
die Krankheit,Hastalık
die Kreuzung,Dörtyol ağzı
kriegen,almak-elde etmek
der Krimi,Polisiye Filmi
kühl,serin
der Kühlschrank,Buzdolabı
sich kümmern,ilgilenmek-bakmak
der Kurde,Müşteri
die Kunst,Sanat
kurz,kısa
kundigen,feshetmek
lachen,gülmek
der Laden,Dükkan
die Landschaft,Bölge-Manzara
langsam,yavaş
lassen,bırakmak
laufen,kaçmak
laut,yüksek(ses)
die Lebensmittel,Yiyecekler
leer,boş
leben,yaşamak
legen,koymak
leider,maalesef
leise,yavaş
das Lied,Şarkı
leid tun,çok üzgünüm
leihen,ödünç vermek
liefern,teslim etmek
liegen,yatmak
der Link,Bağlantı Noktası
der Löffel,Kaşık
die Lüge,Yalan
lügen,yalan söylemek
die Lust,İstek-Arzu
lustig,neşeli
der Magen,Mide
malen,resim yapmak
manchmal,bazen-ara sıra
mannlich,erkek-eril
die Mannschaft,Takım
der Mantel,Palto
das Meer,Deniz
die Menge,Miktar
meinen,sanmak-zannetmek
merken,farkına varmak
die Messe,Sergi
das Messer,Bıçak
die Miete,Kira
mieten,kiralamak
mindestens,en az
der Mitarbeiter,Eleman
die Mitte,Orta
das Mittel,Araç
die Möbel,Mobilya
die Mode,Moda
möglich,mümkün
müde,yorgun
der Müll,Çöp
der Mund,Ağız
die Mütze,Bere
die Nachricht,Haber
nachste,en yakın-gelecek
die Nahe,yakınlık
nass,ıslak-yaş
die Natur,Tabiat-Doğa
nebenan,bitişikte
neblig,sisli
nehmen,almak-tutmak-yakalamak
nennen,demek-adını vermek
nervös,sinirli-heyecanlı
nett,nazik-ince
niemand,hiç kimse
nie,asla
nirgends,hiçbir yerde
die Notiz,Not
notwendig,zorunlu-gerekli
notieren,not etmek
die Nudel,Makarna
nur,yalnız-sadece
nützlich,faydalı-yararlı
oben,yukarıda
offen,açık
das Ohr,Kulak
das Öl,sıvı yağ
öffnen,açmak
die Ordnung,Düzen
der Ort,Yer-Nokta
das Paar,Çift
packen,yakalamak-tutmak
passen,uymak
passieren,geçmek
das Pferd,At
die Pflanze,Bitki
der Platz,Meydan-Yer
plötzlich,ani
die Postleitzahl,Posta kodu
das Praktikum,Staj
die Praxis,Pratik
der Preis,Fiyat
preiswert,ucuz
der Pullover,Kazak
probieren,denemek-tecrübe etmek
prüfen,denemek-kontrol etmek
pünktlich,dakik
die Prüfung,İnceleme-Sınav
die Qualitat,Nitelik
putzen,temizlemek
raten,çözmek
das Rathaus,Belediye Dairesi
das Ratsel,Bilmece-Bulmaca
der Raum,Oda
rauchen,sigara içmek
rechnen,hesap etmek
die Rechnung,Hesap-İşlem
der Regen,Yağmur
der Reifen,Çember
recht haben,haklı olmak
reden,konuşmak
die Reihe,Dizi-Sıra
die Reinigung,Temizleme
reiten,ata binmek
renovieren,yenileştirmek
der Rentner,Emekli
die Reparatur,Tamir
de Rest,Kalan-Kalıntı
das Rezept,Reçete
riechen,kokusunu almak
das Rind,Sığır
der Rock,Ceket
der Rücken,Sırt
rund,yuvarlak
der Rucksack,Sırt Çantası
die Ruhe,Rahat-Sessizlik
der Rundgang,Dolaşma
die Sache,Eşya
der Saft,Su
das Salz,Tuz
der Satz,Cümle
sauber,temiz
sauer,ekşi
sammeln,toplamak-derlemek
schade,yazık
schadlich,zararlı
scharf,keskin-baharatlı
scheinen,ışık vermek
die Schere,Makas
das Schiff,Gemi
das Schild,Kalkan
schicken,göndermek-yollamak
schimpfen,azarlamak-çıkışmak
der Schirm,Şemsiye
schaffen,yaratmak
scliessen,kilitlemek
schlimm,fena-kötü
das Schloss,Saray
der Schluss,Son
der Schlüssel,Anahtar
der Schmerz,Ağrı-Acı
schmutzig,kirli-pis
schmecken,tadına bakmak
der Schnee,Kar
schnell,hızlı
